# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

190.122.64.0/20,AR,AR-X,Sinsacate,
200.110.192.0/21,AR,AR-X,Sinsacate,
186.65.88.0/22,BZ,BZ-BZ,Belize,
2803:9a00::/32,BZ,BZ-BZ,Belize,
181.119.70.0/24,CO,CO-DC,Bogota,
45.175.212.0/22,VE,VE-A,Caracas,
2803:d460::/32,VE,VE-A,Caracas,
45.171.163.0/24,EC,EC-M,portoviejo,
45.173.120.0/22,CL,CL-RM,san bernardo,
2803:8860::/32,CL,CL-RM,san bernardo,
45.6.10.0/24,AR,AR-C,Buenos aires,
181.119.88.0/22,CL,CL-RM,,
45.169.163.0/24,CL,CL-RM,Melipilla,
45.176.232.0/22,CO,CO-COR,Monteria,
2803:9260::/32,CO,CO-COR,Monteria,
45.239.22.0/23,PE,PE-JUN,SATIPO,
192.75.4.0/24,PE,PE-JUN,SATIPO,
2803:a2a0::/32,PE,PE-JUN,SATIPO,
186.148.90.0/24,DO,DO-01,Santo Domingo,
179.51.67.0/24,DO,DO-01,Santo Domingo,
45.229.128.0/22,GT,GT-GU,Guatemala,
2803:1520::/32,GT,GT-GU,Guatemala,
200.16.16.0/20,AR,AR-X,C�rdoba,
2801:120::/32,AR,AR-X,C�rdoba,
45.239.60.0/22,AR,AR-B,isidro casanova,
2803:62a0::/32,AR,AR-B,isidro casanova,
138.117.148.0/22,CL,CL-RM,Santiago,
45.175.140.0/22,AR,AR-P,Formosa,
2803:6c60::/32,AR,AR-P,Formosa,
138.117.160.0/31,PE,PE-LIM,Miraflores,
190.103.24.32/27,AR,AR-X,Villa Santa Rosa,
190.103.24.0/27,AR,AR-X,Villa Santa Rosa,
190.103.24.64/27,AR,AR-X,Villa Santa Rosa,
190.103.24.96/28,AR,AR-K,Santiago Temple,
190.103.24.112/28,AR,AR-X,Matorrales,
190.103.24.128/29,AR,AR-X,Las Gramillas,
190.103.24.136/29,AR,AR-X,Comechingones,
190.103.24.144/29,AR,AR-X,Sagrada Familia,
190.103.26.0/26,AR,AR-X,Matorrales,
190.103.26.64/26,AR,AR-X,Villa Santa Rosa,
190.103.24.1/32,AR,AR-X,Villa Santa Rosa,
190.103.24.2/32,AR,AR-X,Villa Santa Rosa,
190.103.24.3/32,AR,AR-X,Villa Santa Rosa,
190.103.24.4/32,AR,AR-K,Santiago Temple,
190.103.24.5/32,AR,AR-X,Comechingones,
190.103.24.6/32,AR,AR-X,El Crispin,
190.103.24.7/32,AR,AR-X,Sagrada Familia,
190.103.24.8/32,AR,AR-X,Matorrales,
190.103.24.10/32,AR,AR-X,Punta del Agua,
45.176.232.0/26,CO,CO-COR,Monteria,
45.176.232.64/26,CO,CO-COR,Monteria,
45.176.232.128/26,CO,CO-COR,Monteria,
45.176.232.192/26,CO,CO-COR,Monteria,
170.239.168.0/24,AR,AR-B,CABA,
170.239.169.0/24,AR,AR-B,CABA,
2803:33c0:7105::/48,DO,DO-18,Luperon,
2803:33c0:7504::/48,DO,DO-18,Imbert,
2803:33c0:7505::/48,DO,DO-18,Imbert,
2803:33c0:7102::/48,DO,DO-18,Maimon,
2803:33c0:7112::/48,DO,DO-18,Maimon,
138.0.41.120/29,CO,CO-ATL,Bogota,
190.0.224.0/21,CR,CR-SJ,Santa Ana,
2803:7a80::/32,CR,CR-SJ,Santa Ana,
